Registration_Number,Name,Roll_Number,Branch,Course,Semester,Section,Session,Year,Mobile_Number,Email
5,Kamal Verma,101,CSE,BTech,2,A,2022,2022,9876543210,kamalverma@raisoni.net
6,Anjali Sharma,102,CSE,BTech,2,A,2022,2022,9876543211,anjalisharma@raisoni.net
7,Rahul Singh,103,CSE,BTech,2,A,2022,2022,9876543212,rahulsingh@raisoni.net
8,Priya Patel,104,CSE,BTech,2,A,2022,2022,9876543213,priyapatel@raisoni.net
9,Rahul Yadav,105,CSE,BTech,2,A,2022,2022,9876543214,rahulyadav@raisoni.net
10,Aarti Gupta,106,CSE,BTech,2,A,2022,2022,9876543215,aartigupta@raisoni.net
11,Rajesh Kumar,107,CSE,BTech,2,A,2022,2022,9876543216,rajeshkumar@raisoni.net
12,Shweta Singh,108,CSE,BTech,2,A,2022,2022,9876543217,shwetasingh@raisoni.net
13,Mohit Sharma,109,CSE,BTech,2,A,2022,2022,9876543218,mohitsharma@raisoni.net
14,Kritika Verma,110,CSE,BTech,2,A,2022,2022,9876543219,kritikaverma@raisoni.net
15,Vikram Singh,111,CSE,BTech,2,B,2023,2023,9876543220,vikramsingh@raisoni.net
16,Anamika Patel,112,CSE,BTech,2,B,2023,2023,9876543221,anamikapatel@raisoni.net
17,Rajat Gupta,113,CSE,BTech,2,B,2023,2023,9876543222,rajatgupta@raisoni.net
18,Neha Sharma,114,CSE,BTech,2,B,2023,2023,9876543223,nehasharma@raisoni.net
19,Sachin Yadav,115,CSE,BTech,2,B,2023,2023,9876543224,sachinyadav@raisoni.net
20,Sapna Gupta,116,CSE,BTech,2,B,2023,2023,9876543225,sapnagupta@raisoni.net
21,Rohit Kumar,117,CSE,BTech,2,B,2023,2023,9876543226,rohitkumar@raisoni.net
22,Sneha Singh,118,CSE,BTech,2,B,2023,2023,9876543227,snehasingh@raisoni.net
23,Ravi Sharma,119,CSE,BTech,2,B,2023,2023,9876543228,ravisharma@raisoni.net
24,Divya Verma,120,CSE,BTech,2,B,2023,2023,9876543229,divyaverma@raisoni.net
25,Manish Singh,121,IT,MTech,3,A,2021,2021,9876543230,manishsingh@raison

i.net
26,Kavita Patel,122,IT,MTech,3,A,2021,2021,9876543231,kavitapatel@raisoni.net
27,Rakesh Kumar,123,IT,MTech,3,A,2021,2021,9876543232,rakeshkumar@raisoni.net
28,Anita Sharma,124,IT,MTech,3,A,2021,2021,9876543233,anitasharma@raisoni.net
29,Mukesh Yadav,125,IT,MTech,3,A,2021,2021,9876543234,mukeshyadav@raisoni.net
30,Shilpa Gupta,126,IT,MTech,3,A,2021,2021,9876543235,shilpagupta@raisoni.net
